display_name,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,11th,12th,playoff_odds
BenjaminJump,0,0,0,0.03125,0.09375,0.55078125,0.2421875,0.0703125,0.01171875,0,0,0,0.67578125
Bfitz826,0.640625,0.1875,0.171875,0,0,0,0,0,0,0,0,0,1
bugeyesr,0,0,0,0,0,0,0.09765625,0.4375,0.29296875,0.171875,0,0,0
coopsquared,0,0,0,0,0,0.265625,0.4453125,0.125,0.09375,0.0703125,0,0,0.265625
jkeller975,0,0,0,0,0,0.05859375,0.09375,0.16015625,0.21484375,0.47265625,0,0,0.05859375
nickeaton24,0,0,0.03125,0.3125,0.59375,0.0625,0,0,0,0,0,0,1
pinetar,0,0,0,0,0,0,0,0,0,0,0.125,0.875,0
pmchugh118,0,0,0,0,0,0,0.12109375,0.20703125,0.38671875,0.28515625,0,0,0
RMcHugh,0,0,0.3125,0.390625,0.25,0.046875,0,0,0,0,0,0,1
S0UPB0NE,0.046875,0.1875,0.421875,0.265625,0.0625,0.015625,0,0,0,0,0,0,1
SamHinkie1,0.3125,0.625,0.0625,0,0,0,0,0,0,0,0,0,1
willisday536,0,0,0,0,0,0,0,0,0,0,0.875,0.125,0
